Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,Customer Type,latitude,longitude
20,Female,Single,Student,No Income,Post Graduate,4,Frequent,12.9766,77.5993
24,Female,Single,Student,Below Rs.10000,Graduate,3,Regular,12.977,77.5773
22,Male,Single,Student,Below Rs.10000,Post Graduate,3,Regular,12.9551,77.6593
22,Female,Single,Student,No Income,Graduate,6,Frequent,12.9473,77.5616
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,Frequent,12.985,77.5533
27,Female,Married,Employee,More than 50000,Post Graduate,2,Regular,12.9299,77.6848
22,Male,Single,Student,No Income,Graduate,3,Regular,12.977,77.5773
24,Female,Single,Student,No Income,Post Graduate,3,Regular,12.9828,77.6131
23,Female,Single,Student,No Income,Post Graduate,2,Regular,12.9766,77.5993
23,Female,Single,Student,No Income,Post Graduate,4,Frequent,12.9854,77.7081
22,Female,Single,Student,No Income,Post Graduate,5,Frequent,12.985,77.5533
23,Male,Single,Student,Below Rs.10000,Post Graduate,2,Regular,12.977,77.5773
23,Male,Single,Student,No Income,Post Graduate,5,Frequent,12.8988,77.5764
21,Male,Single,Student,No Income,Graduate,4,Frequent,12.977,77.5773
23,Female,Single,Self Employeed,10001 to 25000,Post Graduate,5,Frequent,12.9438,77.5738
24,Female,Single,Student,No Income,Post Graduate,6,Frequent,12.8893,77.6399
28,Female,Single,Employee,25001 to 50000,Post Graduate,2,Regular,12.9783,77.6408
23,Female,Single,Student,No Income,Graduate,3,Regular,12.982,77.6256
25,Male,Single,Student,No Income,Graduate,4,Frequent,12.8988,77.5764
21,Female,Single,Student,Below Rs.10000,Post Graduate,1,New,12.9783,77.6408
24,Male,Single,Student,No Income,Post Graduate,3,Regular,12.977,77.5773
22,Male,Single,Student,No Income,Post Graduate,4,Frequent,13.0298,77.6047
22,Female,Single,Student,No Income,Graduate,4,Frequent,12.9983,77.6409
23,Male,Single,Student,No Income,Graduate,4,Frequent,12.9925,77.5633
21,Male,Single,Student,Below Rs.10000,Post Graduate,3,Regular,12.9306,77.5434
25,Male,Single,Student,No Income,Post Graduate,3,Regular,12.982,77.6256
22,Female,Single,Student,No Income,Post Graduate,5,Frequent,12.9353,77.5585
22,Male,Single,Student,No Income,Post Graduate,3,Regular,12.9155,77.5135
23,Female,Single,Employee,10001 to 25000,Graduate,3,Regular,12.9854,77.7081
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,Frequent,13.0019,77.5713
22,Female,Single,Employee,10001 to 25000,Graduate,5,Frequent,12.9698,77.75
